"","name","duration","realtime","X.cpu","peak_rss","peak_vmem","rchar","wchar","dmr","samples","cpu_allocated","mem_allocated_gb","realtime_sec","peak_rss_mb"
"41","CIBERSORT","39s","3.5s","138.1%","118 MB","1.2 GB","15.3 MB","1.9 MB",100,20,8,16,3.5,118
"42","METDECODE","34.8s","14.8s","87.3%","504.7 MB","3.8 GB","65 MB","2 KB",100,20,8,16,14.8,504.7
"43","EPIDISH_ineq","38.2s","2.1s","102.7%","120.3 MB","1.2 GB","14.8 MB","1.6 KB",25,5,8,16,2.1,120.3
"44","UXM","33.6s","22.6s","458.9%","790.6 MB","6.3 GB","1.1 GB","2.1 MB",100,50,8,16,22.6,790.6
"45","CELFIE","4.8s","1.9s","98.7%","52 MB","400.6 MB","9.2 MB","13.9 KB",100,50,8,16,1.9,52
"46","METH_ATLAS","39.6s","2.9s","153.0%","1.4 GB","17.7 GB","14.8 MB","889.7 KB",100,50,8,16,2.9,1433.6
"47","CIBERSORT","39.5s","5.1s","154.6%","109.1 MB","1.2 GB","20 MB","4.8 MB",100,50,8,16,5.1,109.1
"48","EPIDISH_RPC","39.3s","2.1s","105.3%","135 MB","1.2 GB","14.9 MB","7.4 KB",100,50,8,16,2.1,135
"49","EPISCORE","39.1s","5.3s","96.0%","505 MB","1.7 GB","32.4 MB","2.8 KB",100,50,8,16,5.3,505
"50","PRMETH","39s","2.1s","115.4%","78.7 MB","1.3 GB","6.4 MB","2.8 KB",100,50,8,16,2.1,78.7
"51","METDECODE","34.7s","15.1s","97.1%","492.8 MB","3.8 GB","65 MB","3.4 KB",100,50,8,16,15.1,492.8
"52","EPIDISH_eq","3.3s","2.1s","103.0%","133 MB","1.2 GB","14.8 MB","17.8 KB",25,100,8,16,2.1,133
"53","EPIDISH_ineq","3.9s","2.1s","104.2%","133.8 MB","1.2 GB","15 MB","17.9 KB",100,100,8,16,2.1,133.8
"54","EPIDISH_ineq","37.9s","2.1s","104.5%","131.8 MB","1.2 GB","14.9 MB","17.9 KB",50,100,8,16,2.1,131.8
"55","EPIDISH_ineq","3.9s","1.8s","108.1%","135.8 MB","1.2 GB","14.8 MB","1.6 KB",50,5,8,16,1.8,135.8
"56","EPIDISH_ineq","4s","2.1s","106.1%","136.8 MB","1.2 GB","15.3 MB","9.3 KB",500,50,8,16,2.1,136.8
"57","CIBERSORT","4.8s","2s","132.3%","76.3 MB","1.2 GB","13.7 MB","1.1 MB",250,5,8,16,2,76.3
"58","EPIDISH_RPC","4.4s","2.2s","104.5%","136.2 MB","1.2 GB","14.9 MB","1.4 KB",250,5,8,16,2.2,136.2
"59","PRMETH","4.3s","2.9s","110.8%","68.7 MB","1.4 GB","6.3 MB","723 B",250,5,8,16,2.9,68.7
"60","CELFIE","4.7s","1.8s","81.4%","38 MB","382.1 MB","9.2 MB","21.9 KB",250,5,8,16,1.8,38
"61","METH_ATLAS","39.7s","3.4s","148.1%","72 MB","864.9 MB","14.1 MB","214.9 KB",250,5,8,16,3.4,72
"62","EPISCORE","39.5s","6.5s","94.2%","491.6 MB","1.7 GB","32.3 MB","749 B",250,5,8,16,6.5,491.6
"63","METDECODE","34.8s","14.4s","87.8%","490 MB","3.8 GB","65 MB","1.4 KB",250,5,8,16,14.4,490
