sample,predicted_tf,deconv_tool,tumor_type,regions,seq_depth,sample_size,seq_method,mixture_type,expected_tf
healthy_NBL_0.007_20000000_rep2,0.0208,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.007
healthy_NBL_0.007_20000000_rep3,0.0189,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.007
healthy_NBL_0.007_20000000_rep4,0.0174,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.007
healthy_NBL_0.007_20000000_rep5,0.0186,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.007
healthy_NBL_0.007_20000000_rep6,0.0159,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.007
healthy_NBL_0.007_20000000_rep7,0.02,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.007
healthy_NBL_0.007_20000000_rep8,0.0214,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.007
healthy_NBL_0.007_20000000_rep9,0.0199,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.007
healthy_NBL_0.01_20000000_rep1,0.0259,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.01
healthy_NBL_0.01_20000000_rep10,0.0275,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.01
healthy_NBL_0.01_20000000_rep2,0.0291,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.01
healthy_NBL_0.01_20000000_rep3,0.0291,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.01
healthy_NBL_0.01_20000000_rep4,0.0283,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.01
healthy_NBL_0.01_20000000_rep5,0.027,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.01
healthy_NBL_0.01_20000000_rep6,0.0278,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.01
healthy_NBL_0.01_20000000_rep8,0.028,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.01
healthy_NBL_0.01_20000000_rep9,0.0268,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.01
healthy_NBL_0.025_20000000_rep1,0.0654,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.025
healthy_NBL_0.025_20000000_rep10,0.0693,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.025
healthy_NBL_0.025_20000000_rep2,0.0692,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.025
healthy_NBL_0.025_20000000_rep3,0.0667,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.025
healthy_NBL_0.025_20000000_rep4,0.0684,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.025
healthy_NBL_0.025_20000000_rep5,0.0663,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.025
healthy_NBL_0.025_20000000_rep6,0.0654,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.025
healthy_NBL_0.025_20000000_rep7,0.0653,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.025
healthy_NBL_0.025_20000000_rep8,0.0654,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.025
healthy_NBL_0.05_20000000_rep1,0.1313,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.05
healthy_NBL_0.05_20000000_rep10,0.1264,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.05
healthy_NBL_0.05_20000000_rep4,0.1344,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.05
healthy_NBL_0.05_20000000_rep5,0.1275,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.05
healthy_NBL_0.05_20000000_rep6,0.1345,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.05
healthy_NBL_0.05_20000000_rep7,0.1293,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.05
healthy_NBL_0.05_20000000_rep8,0.1323,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.05
healthy_NBL_0.1_20000000_rep1,0.2515,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.1
