"","deconv_tool","dmr_tool","tumor_type","seq_depth","lod","rank_raw"
"91","CelFiE","limma","BRCA","620M",0.007,1
"92","MetDecode","limma","BRCA","620M",0.01,5
"93","UXM","limma","BRCA","620M",0.025,7
"94","EpiSCORE","limma","BRCA","620M",0.025,7
"95","PRMeth","limma","BRCA","620M",0.01,5
"96","CIBERSORT","limma","BRCA","620M",0.025,7
"97","EpiDISH_RPC","limma","BRCA","620M",0.025,7
"98","meth_atlas","limma","BRCA","620M",0.007,1
"99","EpiDISH_CP_ineq","limma","BRCA","620M",0.007,1
"100","EpiDISH_CP_eq","limma","BRCA","620M",0.007,1
"101","CelFiE","DMRfinder","BRCA","620M",0.007,1
"102","MetDecode","DMRfinder","BRCA","620M",0.01,3
"103","UXM","DMRfinder","BRCA","620M",0.007,1
"104","EpiSCORE","DMRfinder","BRCA","620M",0.25,8
"105","PRMeth","DMRfinder","BRCA","620M",0.01,3
"106","CIBERSORT","DMRfinder","BRCA","620M",0.5,9
"107","EpiDISH_RPC","DMRfinder","BRCA","620M",0.5,9
"108","meth_atlas","DMRfinder","BRCA","620M",0.025,5
"109","EpiDISH_CP_ineq","DMRfinder","BRCA","620M",0.025,5
"110","EpiDISH_CP_eq","DMRfinder","BRCA","620M",0.025,5
"111","CelFiE","wgbstools","BRCA","620M",0.007,1
"112","MetDecode","wgbstools","BRCA","620M",1,10
"113","UXM","wgbstools","BRCA","620M",0.025,4
"114","EpiSCORE","wgbstools","BRCA","620M",0.025,4
"115","PRMeth","wgbstools","BRCA","620M",0.05,8
"116","CIBERSORT","wgbstools","BRCA","620M",0.1,9
"117","EpiDISH_RPC","wgbstools","BRCA","620M",0.025,4
"118","meth_atlas","wgbstools","BRCA","620M",0.025,4
"119","EpiDISH_CP_ineq","wgbstools","BRCA","620M",0.01,2
"120","EpiDISH_CP_eq","wgbstools","BRCA","620M",0.01,2
"121","MetDecode","limma","LUAD","310M",0.025,7
"122","CelFiE","limma","LUAD","310M",0.007,2
"123","UXM","limma","LUAD","310M",0.007,2
"124","meth_atlas","limma","LUAD","310M",0.025,7
"125","PRMeth","limma","LUAD","310M",0.025,7
"126","EpiDISH_RPC","limma","LUAD","310M",0.007,2
"127","EpiSCORE","limma","LUAD","310M",0.05,10
"128","CIBERSORT","limma","LUAD","310M",1e-04,1
"129","EpiDISH_CP_ineq","limma","LUAD","310M",0.01,5
"130","EpiDISH_CP_eq","limma","LUAD","310M",0.01,5
"131","MetDecode","wgbstools","LUAD","310M",0.025,5
"132","CelFiE","wgbstools","LUAD","310M",0.007,1
"133","UXM","wgbstools","LUAD","310M",0.007,1
"134","meth_atlas","wgbstools","LUAD","310M",0.025,5
"135","PRMeth","wgbstools","LUAD","310M",0.05,7
"136","EpiDISH_RPC","wgbstools","LUAD","310M",0.25,8
"137","EpiSCORE","wgbstools","LUAD","310M",0.25,8
"138","CIBERSORT","wgbstools","LUAD","310M",0.25,8
"139","EpiDISH_CP_ineq","wgbstools","LUAD","310M",0.007,1
"140","EpiDISH_CP_eq","wgbstools","LUAD","310M",0.007,1
"141","MetDecode","DMRfinder","LUAD","310M",0.025,7
"142","CelFiE","DMRfinder","LUAD","310M",0.007,1
"143","UXM","DMRfinder","LUAD","310M",0.01,5
"144","meth_atlas","DMRfinder","LUAD","310M",0.007,1
"145","PRMeth","DMRfinder","LUAD","310M",0.01,5
"146","EpiDISH_RPC","DMRfinder","LUAD","310M",0.5,9
"147","EpiSCORE","DMRfinder","LUAD","310M",0.25,8
"148","CIBERSORT","DMRfinder","LUAD","310M",0.5,9
"149","EpiDISH_CP_ineq","DMRfinder","LUAD","310M",0.007,1
"150","EpiDISH_CP_eq","DMRfinder","LUAD","310M",0.007,1
"151","UXM","DMRfinder","LUAD","183M",0.05,7
"152","CelFiE","DMRfinder","LUAD","183M",0.01,1
"153","MetDecode","DMRfinder","LUAD","183M",0.025,2
"154","EpiDISH_RPC","DMRfinder","LUAD","183M",0.5,8
"155","EpiSCORE","DMRfinder","LUAD","183M",0.5,8
"156","PRMeth","DMRfinder","LUAD","183M",0.025,2
